K_Factor,Mean_Absolute_Error
5,10.1936063936064
6,9.77522477522477
7,9.33126873126873
8,9.03436563436563
9,9.48511488511488
10,9.32927072927073
11,9.01718281718282
12,9.43156843156843
13,8.73306693306693
14,9.04995004995005
15,9.01798201798202
16,9.28411588411588
17,8.85454545454545
18,9.3016983016983
19,9.22577422577423
20,8.62437562437563
