NLOS_Gain,Mean_Absolute_Error
1,3.45874125874126
2,18.3726273726274
3,26.5504495504496
4,27.043956043956
5,30.4533466533467
6,30.5280719280719
7,29.0171828171828
8,28.8061938061938
9,28.9144855144855
10,29.2461538461538
