NLOS_Gain,Mean_Absolute_Error
1,30.4585414585415
2,32.2927072927073
3,28.9300699300699
4,27.2497502497503
5,28.6363636363636
6,29.3876123876124
7,27.025974025974
8,29.2237762237762
9,29.9270729270729
10,29.001998001998
