beam_1,beam_2,beam_3,beam_4,beam_5,beam_6,beam_7,beam_8,beam_9,beam_10,beam_11,beam_12,beam_13,beam_14,beam_15,beam_16,beam_17,beam_18,beam_19,beam_20,K,angle
0.417558334983174,0.0799393725999565,0.0849792001150389,0.359309269994008,0.0229754175326119,0.290404802634862,0.0423078076363969,0.161661232825484,0.101345870966553,0.401764311740652,0.22466408373214,0.0233644464178633,0.265923132458788,0.0629468022310872,0.357024008494906,0.180283364512631,0.0806476420216561,0.0542227145769176,0.272821956666627,0.170047012893459,0.1,0
0.0694136096682718,0.0982647724586599,0.0400131488224311,0.291666853271073,0.0605271351157147,0.0168443312255545,0.0902077793655577,0.00509898942625659,0.0575967685481984,0.13609384984109,0.799034956053777,0.0247608000819016,0.0546172649502601,0.1436935671319,0.120749429022152,0.133107533236181,0.125033572351102,0.0490530328054167,0.140264778788257,0.363583360402378,0.1,0
0.14998080106407,0.0650434114146019,0.0602466561858963,0.10951660677617,0.107099008672671,0.375165308043229,0.467017255916669,0.192726086559529,0.049727948739747,0.19437963404295,0.00599528563568257,0.659777655321224,0.0199090871116622,0.0330359376987651,0.216522895447909,0.0724702942261069,0.125266140861918,0.0384453581800707,0.0531205987152621,0.0311735167245344,0.1,0
0.15063657674837,0.575184469222795,0.133706615795837,0.187797303531768,0.0326260836513896,0.0449514587049437,0.0850130105341856,0.241474794442792,0.0777616135666027,0.0388392752916491,0.232905568884059,0.322643063466758,0.297900648597742,0.0286067652536465,0.363047811935556,0.223214098804738,0.0268990068329292,0.0980216866434917,0.205878791233215,0.186803626365325,0.1,0
0.235143630261825,0.00653162861301348,0.199863020334094,0.151002711806251,0.0410318608652438,0.262917011638362,0.576668232761641,0.182408159810956,0.375319548047833,0.16688328106334,0.0799891578466002,0.147014153106539,0.236015314343923,0.124910266505068,0.236335654628739,0.0545714443307387,0.199529447471234,0.27077902284555,0.0703527325085493,0.0185044793223455,0.1,0
0.236418755634352,0.181566791837686,0.279625543599453,0.319535506021349,0.114653744538422,0.0396710068563015,0.317967880600236,0.0537864889167637,0.311723649356462,0.146484662171787,0.360555450447193,0.129306369070596,0.106722058390332,0.045665198390125,0.0502377813384268,0.345830162195217,0.239475413455787,0.119094359261973,0.132224121489304,0.349525816614432,0.2,0
0.577982062380816,0.222368441676827,0.0361093888784106,0.112050664832519,0.242276332206052,0.0677736807275392,0.00853307769711897,0.0871300941676673,0.558251868877353,0.0463418722633441,0.0929501509905665,0.085211426662919,0.362655033867699,0.0523153210591145,0.183442253527376,0.0166516407294484,0.0228451981702392,0.0217810306021153,0.0776971058825708,0.163596197975566,0.2,0
0.268476405473233,0.202931568590844,0.188700728138802,0.226116751258769,0.1356781696543,0.0766370411898669,0.0437447129057096,0.139880614500647,0.219335001541295,0.0519523688386088,0.261970433010683,0.0537319772641417,0.0098814819184402,0.0750158065186231,0.270187661977286,0.225495535303658,0.0231358547785824,0.147453559251344,0.684363393093907,0.108223092314651,0.2,0
0.179301909322778,0.0818625015455057,0.199839868509179,0.14425537832756,0.355109483061909,0.134425814063763,0.0127924438372934,0.114027241808971,0.426696379734576,0.175522710235125,0.429486869418831,0.0438367892801024,0.471239278335732,0.165067644914625,0.142317840196872,0.239815980393,0.0243026903973766,0.10072115716618,0.072864600923502,0.0261099472000875,0.2,0
0.0034420927847187,0.49719803895204,0.0213275401999848,0.088457175891755,0.124831510186166,0.0424578140120641,0.00600183008699982,0.161130903698852,0.361619173878699,0.0483309102268206,0.503875071600566,0.057011676398954,0.0490048792059653,0.0715181628710482,0.287086666810409,0.338557806613004,0.0907531250268092,0.301933632713368,0.0760760057713811,0.0336030637452212,0.2,0
