K_Factor,Mean_Absolute_Error
0.1,23.6933066933067
0.2,21.2957042957043
0.3,26.1308691308691
0.4,23.4475524475525
0.5,20.4865134865135
0.6,23.4575424575425
0.7,19.9090909090909
0.8,20.4145854145854
0.9,21.4355644355644
1,25.7052947052947
1.1,26.2027972027972
1.2,19.9110889110889
