K_Factor,Mean_Absolute_Error
5,22.2991008991009
6,24.4585414585415
7,22.0941058941059
8,21.183016983017
9,23.6897102897103
10,23.5694305694306
11,22.6295704295704
12,21.4303696303696
13,22.9108891108891
14,23.7604395604396
15,25.5778221778222
16,20.6031968031968
17,21.4207792207792
18,22.9296703296703
19,24.8565434565435
20,22.5080919080919
